,start_times,attack_stop_times,end_times,on_status
0,2025-11-17_15:00:56.381023,2025-11-17_15:00:57.960058,2025-11-17_15:01:06.394152,True
1,2025-11-17_15:01:40.910416,2025-11-17_15:01:44.160305,2025-11-17_15:01:50.926685,False
2,2025-11-17_15:02:40.298163,2025-11-17_15:02:46.535841,2025-11-17_15:02:50.327545,False
3,2025-11-17_15:03:00.877841,2025-11-17_15:03:01.834325,2025-11-17_15:03:10.882887,True
4,2025-11-17_15:04:02.785346,2025-11-17_15:04:04.031725,2025-11-17_15:04:12.796866,False
5,2025-11-17_15:06:32.919596,2025-11-17_15:06:35.093407,2025-11-17_15:06:42.934377,True
6,2025-11-17_15:07:37.601705,2025-11-17_15:07:40.770989,2025-11-17_15:07:47.620919,True
7,2025-11-17_15:07:52.195606,2025-11-17_15:07:57.118082,2025-11-17_15:08:02.212619,True
8,2025-11-17_15:08:42.060131,2025-11-17_15:08:44.673540,2025-11-17_15:08:52.066192,False
9,2025-11-17_15:10:36.702199,2025-11-17_15:10:37.454968,2025-11-17_15:10:46.715520,True
10,2025-11-17_15:14:05.154310,2025-11-17_15:14:07.363610,2025-11-17_15:14:15.170071,False
11,2025-11-17_15:15:32.802923,2025-11-17_15:15:35.594613,2025-11-17_15:15:42.822029,True
