start_times,attack_stop_times,on_status,light,attack_number,mouse_id,end_times
2025-10-31_15:32:34,2025-10-31_15:32:54,FALSE,off,0,121,2025-10-31_15:32:44
2025-10-31_15:32:48,2025-10-31_15:33:07,FALSE,off,1,121,2025-10-31_15:32:58
2025-10-31_15:33:05,2025-10-31_15:33:15,TRUE,on,2,121,2025-10-31_15:33:15
2025-10-31_15:33:18,2025-10-31_15:33:26,TRUE,on,3,121,2025-10-31_15:33:28
2025-10-31_15:33:34,2025-10-31_15:33:35,TRUE,on,4,121,2025-10-31_15:33:44
2025-10-31_15:33:52,2025-10-31_15:33:55,TRUE,on,5,121,2025-10-31_15:34:02
2025-10-31_15:53:19,2025-10-31_15:53:31,TRUE,on,0,121,2025-10-31_15:53:29
2025-10-31_15:53:34,2025-10-31_15:53:50,FALSE,off,1,121,2025-10-31_15:53:44
2025-10-31_15:53:48,2025-10-31_15:54:12,FALSE,off,2,121,2025-10-31_15:53:58
2025-10-31_16:04:37,2025-10-31_16:04:48,TRUE,on,3,121,2025-10-31_16:04:47
2025-10-31_16:04:50,2025-10-31_16:04:59,FALSE,off,4,121,2025-10-31_16:05:00
2025-10-31_16:20:51,2025-10-31_16:21:10,FALSE,off,0,121,2025-10-31_16:21:01
2025-10-31_16:31:57,2025-10-31_16:32:20,FALSE,off,1,121,2025-10-31_16:32:07
2025-11-03_14:13:25,2025-11-03_14:13:32,TRUE,on,0,121,2025-11-03_14:13:35
2025-11-03_14:34:51,2025-11-03_14:35:00,FALSE,off,0,121,2025-11-03_14:35:01
